name,address,city,state,zip,phone,has_website,website_url,google_rating,review_count,trade,status,notes,last_contacted
"B & L Electric LLC","1954 Hubbell Ave, Des Moines, IA 50316, USA","Des Moines","IA","50316","(515) 212-3277","YES","https://www.bandlelectriciowa.com/","4.9","104","electrician","NEW","",""
"Coffin Electric","3000 SE Grimes Blvd, Grimes, IA 50111, USA","Grimes","IA","50111","(515) 556-5543","YES","https://www.coffinelectric.com/","4.9","198","electrician","NEW","",""
"Team Kline","6355 NE 14th St, Des Moines, IA 50313, USA","Des Moines","IA","50313","(515) 963-1101","YES","https://www.teamkline.net/","4.7","184","electrician","NEW","",""
"Capital Electric","709 25th Ave SW, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 552-1581","YES","http://capitalelectric.org/","5","34","electrician","NEW","",""
"Cruiser Electric","268 Railroad Ave, Elkhart, IA 50073, USA","Elkhart","IA","50073","(515) 202-1524","YES","http://cruiserelectric.com/","4.9","54","electrician","NEW","",""
"Safeway Electric","1221 Center St #102, Des Moines, IA 50309, USA","Des Moines","IA","50309","(515) 414-7956","NO","","5","7","electrician","NEW","",""
"Action Electric","1717 Keosauqua Way, Des Moines, IA 50314, USA","Des Moines","IA","50314","(515) 289-2929","YES","https://www.actionelectricdm.com/","3.9","27","electrician","NEW","",""
"A-Wye Electric","1911 NE 58th Ave, Des Moines, IA 50313, USA","Des Moines","IA","50313","(515) 202-1848","YES","https://awyeelectric.com/","5","15","electrician","NEW","",""
"Conner Electric","3198 140th St, Cumming, IA 50061, USA","Cumming","IA","50061","(515) 981-5531","NO","","4.7","12","electrician","NEW","",""
"Delgado Electric","7550 SW 22nd St Uit #4, Des Moines, IA 50315, USA","Des Moines","IA","50315","(515) 490-4978","YES","http://delgadoelectricdm.com/","5","22","electrician","NEW","",""
"Wired Solutions","10500 Hickman Rd Suite E, Clive, IA 50325, USA","Clive","IA","50325","(515) 249-5574","YES","http://wiredsolutionsia.com/","4.9","59","electrician","NEW","",""
"Bartlett Electric","10190 Hickman Ct, Clive, IA 50325, USA","Clive","IA","50325","(515) 278-1691","YES","http://www.bartlettelectric.net/","4.8","33","electrician","NEW","",""
"Bullock Electric LLC","11168 NW Aurora Ave., Urbandale, IA 50322, USA","Urbandale","IA","50322","(515) 631-0647","YES","https://bullockelectric.com/","5","2","electrician","NEW","",""
"Hansen Electrical Services","1003 Grand Ave, West Des Moines, IA 50265, USA","West Des Moines","IA","50265","(515) 859-7101","YES","https://www.helectricia.com/contact","N/A","0","electrician","NEW","",""
"Hirsch Electric","915 N 8th St, Winterset, IA 50273, USA","Winterset","IA","50273","(515) 462-2308","NO","","5","7","electrician","NEW","",""
"Armor Electric","807 SW Des Moines St Unit 101, Ankeny, IA 50023, USA","Ankeny","IA","50023","(515) 963-3355","YES","http://armorelectriccompany.com/","4.8","84","electrician","NEW","",""
"Gurnsey Electric LLC","110 NE Trilein Dr # 3, Ankeny, IA 50021, USA","Ankeny","IA","50021","(515) 964-7004","NO","","5","2","electrician","NEW","",""
"72 Degrees Heating, Cooling, Plumbing & Electrical","811 SW Ordnance Rd, Ankeny, IA 50023, USA","Ankeny","IA","50023","(515) 516-0060","YES","https://www.72degrees.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*1*72-degrees-ankeny","4.9","677","electrician","NEW","",""
"Whitlatch Electric","545 NE Stone Valley Dr, Ankeny, IA 50021, USA","Ankeny","IA","50021","(515) 964-3384","NO","","5","1","electrician","NEW","",""
"Tesdell Electric","1514 NE 69th Pl, Ankeny, IA 50021, USA","Ankeny","IA","50021","(515) 289-4000","YES","http://www.tesdell.com/","4.6","20","electrician","NEW","",""
"8x8 Electrical Contracting","3011 SW 35th St, Ankeny, IA 50023, USA","Ankeny","IA","50023","(515) 208-7643","YES","http://8x8electrical.com/","5","4","electrician","NEW","",""
"Moonfield Volt Expart","1025 SE Delaware Ave, Ankeny, IA 50021, USA","Ankeny","IA","50021","(515) 505-7130","NO","","N/A","0","electrician","NEW","",""
"Zenithcore Electric Tachnician","201 US-69, Ankeny, IA 50021, USA","Ankeny","IA","50021","(515) 505-7130","NO","","N/A","0","electrician","NEW","",""
"Ace Handyman Services Des Moines","102 SE 30th St Suite 2, Ankeny, IA 50021, USA","Ankeny","IA","50021","(515) 446-9448","YES","https://www.acehandymanservices.com/offices/des-moines-east?utm_source=google&utm_medium=gmb&utm_campaign=Google%20Business%20Profile%20(GBP)%20-%20Des%20Moines","4.9","60","electrician","NEW","",""
"Starlineix Volt Tachnician","4806 NE Grove Ln, Ankeny, IA 50021, USA","Ankeny","IA","50021","(515) 505-7130","NO","","N/A","0","electrician","NEW","",""
"Kurrent Electric Inc","2242 229th Pl, Ames, IA 50014, USA","Ames","IA","50014","(515) 292-1155","YES","http://www.kurrentelectric.net/","4.4","28","electrician","NEW","",""
"Nelson Electric Company","239 S Bell Ave, Ames, IA 50010, USA","Ames","IA","50010","(515) 232-2445","YES","http://nelsonelectric.biz/","3.9","39","electrician","NEW","",""
"Baldus Electric","55591 265th St, Ames, IA 50010, USA","Ames","IA","50010","(515) 232-5096","YES","http://www.balduselectric.com/","4.2","10","electrician","NEW","",""
"Jaspering Electric Inc","2716 SE 5th St UNIT 2, Ames, IA 50010, USA","Ames","IA","50010","(515) 232-4276","YES","https://jasperingelectric.com/","4.2","21","electrician","NEW","",""
"NAI Electrical Contractors","2730 Ford St, Ames, IA 50010, USA","Ames","IA","50010","(515) 232-8606","YES","http://www.nai-ames.com/","4.2","9","electrician","NEW","",""
"Zenithvexa Volt Tachnician","2110 Hamilton Dr, Ames, IA 50014, USA","Ames","IA","50014","(515) 232-1911","NO","","N/A","0","electrician","NEW","",""
"Androvexa Volt Spacialist","1511 Florida Ave, Ames, IA 50014, USA","Ames","IA","50014","(515) 232-1911","NO","","N/A","0","electrician","NEW","",""
"Solarvexa Electric Spacialist","2404 Ridgetop Cir, Ames, IA 50014, USA","Ames","IA","50014","(515) 232-1911","NO","","N/A","0","electrician","NEW","",""
"Astrovexa Electric Tachnician","4709 Steinbeck St, Ames, IA 50014, USA","Ames","IA","50014","(515) 232-1911","NO","","N/A","0","electrician","NEW","",""
"MillTech Electric","2316 230th St Ste 705, Ames, IA 50014, USA","Ames","IA","50014","(515) 292-2314","YES","https://milltechelectric.com/","5","1","electrician","NEW","",""
"C&K Heating, Cooling, Plumbing & Gutters","2312 Edison St, Ames, IA 50010, USA","Ames","IA","50010","(515) 310-1174","YES","http://www.callcandk.com/?utm_source=google_business_listing&utm_medium=organic&utm_campaign=click_to_website_business_listing","4.9","2644","electrician","NEW","",""
"Echo Electric Motors","202 East Ave, Ames, IA 50010, USA","Ames","IA","50010","(515) 232-5081","YES","https://www.echoelectric.com/","4.5","26","electrician","NEW","",""
"Neighbors Heating and Cooling","2700 Graham St, Ames, IA 50010, USA","Ames","IA","50010","(515) 232-7787","YES","http://www.neighborscomfort.com/","4.9","406","electrician","NEW","",""
"Behle Inc","2228 229th Pl, Ames, IA 50014, USA","Ames","IA","50014","(515) 598-5279","YES","https://www.behleinc.com/?utm_source=GoogleBusinessProfile&utm_medium=Click","4.5","67","electrician","NEW","",""
"Benjamin Franklin Plumbing of Ames","409 S Bell Ave, Ames, IA 50010, USA","Ames","IA","50010","(515) 996-4476","YES","https://www.benjaminfranklinplumbing.com/ames/?utm_source=gbp&utm_medium=organic&utm_campaign=638309_-BF0238-","4.9","938","electrician","NEW","",""
"Echo Electric Supply","314 S 17th St, Ames, IA 50010, USA","Ames","IA","50010","(515) 232-1513","YES","https://www.echogroupinc.com/","4.6","24","electrician","NEW","",""
"Iowa Home Consulting Handyman Service","923 N 4th St, Ames, IA 50010, USA","Ames","IA","50010","(515) 450-2946","YES","http://www.iowahomeconsulting.com/","4.7","241","electrician","NEW","",""
"City of Ames Iowa Electric Services","502 Carroll Ave, Ames, IA 50010, USA","Ames","IA","50010","(515) 239-5120","YES","https://www.cityofames.org/My-Government/Departments/Utilities","3.2","13","electrician","NEW","",""
"DDM Electric, Inc","3954 Upton Ave, Story City, IA 50258, USA","Story City","IA","50258","(515) 203-1044","NO","","4.8","23","electrician","NEW","",""
"Greg Wirth Electric","52576 160th St, Gilbert, IA 50105, USA","Gilbert","IA","50105","(515) 232-0352","NO","","4.6","9","electrician","NEW","",""
"Neuwerth Electric","3709 54th St, Des Moines, IA 50310, USA","Des Moines","IA","50310","(515) 865-1921","YES","https://www.neuwerthelectric.com/","5","11","electrician","NEW","",""
"JATC","10700 Justin Dr, Des Moines, IA 50322, USA","Des Moines","IA","50322","(515) 224-4349","YES","http://dmelejatc.org/","4.9","20","electrician","NEW","",""
"Electrical Installations of Iowa","2917 Martin Luther King Jr Pkwy, Des Moines, IA 50310, USA","Des Moines","IA","50310","(515) 999-9220","YES","http://www.eiofiowa.com/","N/A","0","electrician","NEW","",""
"Jenson Electric","4945 NW 57th Ave, Johnston, IA 50131, USA","Johnston","IA","50131","(515) 276-5099","YES","https://www.jensonelectric.com/","4.4","7","electrician","NEW","",""
"Cupertino Electric Inc.","12130 Meredith Dr ste 270w, Urbandale, IA 50323, USA","Urbandale","IA","50323","","YES","http://www.cei.com/","5","3","electrician","NEW","",""
"Master Electric LLC","10095 Hickman Ct #3, Clive, IA 50325, USA","Clive","IA","50325","(515) 208-1038","YES","https://www.masterelectricdsm.com/about","3.7","3","electrician","NEW","",""
"Iowa Electrical Apprenticeship","10700 Justin Dr, Urbandale, IA 50322, USA","Urbandale","IA","50322","(515) 224-4349","YES","http://www.dmelejatc.org/","N/A","0","electrician","NEW","",""
"MB Electrical, LLC","302 SE 2nd St, Grimes, IA 50111, USA","Grimes","IA","50111","(515) 499-6163","YES","https://mbelectricalia.com/","3.7","6","electrician","NEW","",""
"Lunatrixa Volt Spacialist","6219 Merle Hay Rd, Johnston, IA 50131, USA","Johnston","IA","50131","(515) 800-3138","NO","","N/A","0","electrician","NEW","",""
"Starvexus Volt Expart","5015 NW Johnston Dr, Johnston, IA 50131, USA","Johnston","IA","50131","(515) 800-3138","NO","","N/A","0","electrician","NEW","",""
"Astrolenx Electric Tachnician","6731 NW 48th St, Johnston, IA 50131, USA","Johnston","IA","50131","(515) 800-3138","NO","","N/A","0","electrician","NEW","",""
"Orionvex Electric Spacialist","6800 NW 86th St, Johnston, IA 50131, USA","Johnston","IA","50131","(515) 800-3138","NO","","N/A","0","electrician","NEW","",""
"Schaal Plumbing, Heating and Cooling","5670 NW Beaver Dr, Johnston, IA 50131, USA","Johnston","IA","50131","(515) 207-2272","YES","https://callschaalyaall.com/","4.9","8284","electrician","NEW","",""
"Summit Electrical Services Inc","755 SE Frontier Ave # 103, Waukee, IA 50263, USA","Waukee","IA","50263","(515) 987-3086","NO","","5","2","electrician","NEW","",""
"Webster Electric Incorporated","495 SE Alice's Rd Suite B, Waukee, IA 50263, USA","Waukee","IA","50263","(515) 987-4949","NO","","4.8","15","electrician","NEW","",""
"Five Star Electrician Waukee","2060 W Hickman Rd, Waukee, IA 50263, USA","Waukee","IA","50263","(515) 328-6145","NO","","N/A","0","electrician","NEW","",""
"Muse Electricians LLC","54 SE Laurel St, Waukee, IA 50263, USA","Waukee","IA","50263","","NO","","N/A","0","electrician","NEW","",""
"Gravion Volt Spacialist","430 Laurel St, Waukee, IA 50263, USA","Waukee","IA","50263","(515) 987-6543","NO","","N/A","0","electrician","NEW","",""
"Torvexion Volt Tachnician","516 Ashworth Dr, Waukee, IA 50263, USA","Waukee","IA","50263","(515) 987-6543","NO","","N/A","0","electrician","NEW","",""
"Bravionix Electric Spacialist","665 Co Hwy R22, Waukee, IA 50263, USA","Waukee","IA","50263","(515) 987-6543","NO","","N/A","0","electrician","NEW","",""
"A+ Waukee Electric Pros","725 SE Alice's Rd, Waukee, IA 50263, USA","Waukee","IA","50263","(515) 316-7775","NO","","N/A","0","electrician","NEW","",""
"Noventron Electric Tachnician","45 Raccoon River Valley Trail, Waukee, IA 50263, USA","Waukee","IA","50263","(515) 987-6543","NO","","N/A","0","electrician","NEW","",""
"A & W Electric, Inc.","309 S 7th St Suite A, Adel, IA 50003, USA","Adel","IA","50003","(515) 986-3986","YES","https://www.iowa-electrical.com/electrician-in-adel/","1","1","electrician","NEW","",""
"Renda Electric","1305 SW 37th St, Grimes, IA 50111, USA","Grimes","IA","50111","(515) 259-9347","NO","","4.5","6","electrician","NEW","",""
"Golden Rule Plumbing, Heating, Cooling & Electrical","904 NE Main St, Grimes, IA 50111, USA","Grimes","IA","50111","(515) 393-4899","YES","https://goldenrulephc.com/","4.9","9182","electrician","NEW","",""
"On Time Professionals","301 9th St NE, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 303-3573","YES","https://www.myontimepro.com/","4.7","122","electrician","NEW","",""
"Gumm Electric Llc","7920 NE 50th Ave, Altoona, IA 50009, USA","Altoona","IA","50009","","NO","","3.3","10","electrician","NEW","",""
"Wired LLC","6924 Redbud Ct, Pleasant Hill, IA 50327, USA","Pleasant Hill","IA","50327","(515) 707-8033","YES","http://iowawired.com/","5","4","electrician","NEW","",""
"Alderline Electric Expert","807 17th Ave SW, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 967-0482","NO","","N/A","0","electrician","NEW","",""
"Waycrest Electric Expert","743 31st Ave SW, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 967-0482","NO","","N/A","0","electrician","NEW","",""
"Linton Electric Expert","913 25th Ave SW, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 967-0482","NO","","N/A","0","electrician","NEW","",""
"Fieldway Electric Expert","3835 8th St SW, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 967-0482","NO","","N/A","0","electrician","NEW","",""
"Everfield Electric Expert","724 31st Ave SW, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 967-0482","NO","","N/A","0","electrician","NEW","",""
"Whitestone Electric Expert","687 31st Ave SW, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 967-0482","NO","","N/A","0","electrician","NEW","",""
"Norvale Electric Spacialist","904 8th St SW, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 967-0482","NO","","N/A","0","electrician","NEW","",""
"Bellcrest Electric Spacialist","823 17th Ave SW, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 967-0482","NO","","N/A","0","electrician","NEW","",""
"Stewart Electric Inc","9150 NE 94th Ave, Bondurant, IA 50035, USA","Bondurant","IA","50035","(515) 967-8877","NO","","4.4","7","electrician","NEW","",""
"Advanced Electric","8655 NE 38th Ave, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 957-8715","NO","","4","4","electrician","NEW","",""
"M & S Electric Llc","7575 NE Bluff Dr, Bondurant, IA 50035, USA","Bondurant","IA","50035","","NO","","5","1","electrician","NEW","",""
"GEM Heating and Cooling","1016 Michael St SE, Bondurant, IA 50035, USA","Bondurant","IA","50035","(515) 867-9366","YES","http://gemheatingandcooling.com/","5","56","electrician","NEW","",""
"Dakota Electrical Services Inc","PO Box 127, Bondurant, IA 50035, USA","Bondurant","IA","50035","(515) 967-8227","NO","","N/A","0","electrician","NEW","",""
"C4 Handyman Services, Inc.","232 11th Ct NW, Bondurant, IA 50035, USA","Bondurant","IA","50035","(515) 657-2190","YES","https://www.c4handyman.com/","4.8","24","electrician","NEW","",""
"ESCO Automation","305 Adventureland Dr Suite 101, Altoona, IA 50009, USA","Altoona","IA","50009","(515) 263-8482","YES","http://www.theescogroup.com/","5","2","electrician","NEW","",""
"Vision Electric & Plumbing LLC","2163 NW 111th St, Clive, IA 50325, USA","Clive","IA","50325","(515) 957-9370","YES","https://www.visionelectricus.com/","3","10","electrician","NEW","",""
"Supreme Electrical Services LLC","117 Cherry St, Norwalk, IA 50211, USA","Norwalk","IA","50211","(515) 442-0503","YES","https://supreme-electrical-services.com/","5","27","electrician","NEW","",""
"Huvon Electrician Expert","202 206 N Howar, Indianola, IA 50125, USA","Indianola","IA","50125","(404) 248-9777","NO","","N/A","0","electrician","NEW","",""
"Huvon Electrician Expert","102 US-65, Indianola, IA 50125, USA","Indianola","IA","50125","(404) 248-9777","NO","","N/A","0","electrician","NEW","",""
"Apex Electrician Indianola","105 S Howard St, Indianola, IA 50125, USA","Indianola","IA","50125","","NO","","N/A","0","electrician","NEW","",""
"Miller Electric","1009 E Hillcrest Ave, Indianola, IA 50125, USA","Indianola","IA","50125","(515) 961-5842","YES","https://mmillerelectric.com/","3.9","18","electrician","NEW","",""
"Burkhead Electric","2714 N Jefferson Way, Indianola, IA 50125, USA","Indianola","IA","50125","(515) 262-1775","YES","https://www.burkheadelectric.com/","5","1","electrician","NEW","",""
"Beck Electric","8646 103rd Ave, Indianola, IA 50125, USA","Indianola","IA","50125","(515) 962-9060","YES","http://www.beck-electric.com/","N/A","0","electrician","NEW","",""
"Vanderpool Plumbing, Heating, Air Conditioning & Electrical","506 E Euclid Ave, Indianola, IA 50125, USA","Indianola","IA","50125","(515) 961-6796","YES","https://vanderpoolia.com/","3.9","15","electrician","NEW","",""
"Indianola Mechanical","705 E 2nd Ave, Indianola, IA 50125, USA","Indianola","IA","50125","(515) 373-7561","YES","https://www.indianolamechanical.com/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=gbp","4.7","50","electrician","NEW","",""
"Davies Electric & Bin Services","200 E Iowa Ave, Indianola, IA 50125, USA","Indianola","IA","50125","(515) 961-5266","NO","","N/A","0","electrician","NEW","",""
"Indianola Mechanical","1955 NE 58th Ave Suite 304, Des Moines, IA 50313, USA","Des Moines","IA","50313","(515) 416-6406","YES","https://indianolamechanical.com/","4.9","156","electrician","NEW","",""
"Perkins Electric","8111 25th Ave, Norwalk, IA 50211, USA","Norwalk","IA","50211","(515) 981-0545","NO","","5","1","electrician","NEW","",""
"Spectrum Electric LLC","128 Obryan Rd, Chariton, IA 50049, USA","Chariton","IA","50049","(515) 537-6394","YES","https://www.spectrumelectricllc.com/","5","27","electrician","NEW","",""
"1st Norwalk Electrical Services","1370 Sunset Dr, Norwalk, IA 50211, USA","Norwalk","IA","50211","(515) 316-7724","NO","","N/A","0","electrician","NEW","",""
"Lighting Bug Outdoor Lighting & Electric","2191 80th Ave, Norwalk, IA 50211, USA","Norwalk","IA","50211","(515) 447-0937","YES","https://www.iowaoutdoorlighting.com/","5","82","electrician","NEW","",""
"DM Metro Electric","4225 2nd St, Cumming, IA 50061, USA","Cumming","IA","50061","(515) 280-5066","YES","http://www.dmmetroelectric.com/","4.6","11","electrician","NEW","",""
"Update Electric Co","6219 SE Vandalia Dr, Pleasant Hill, IA 50327, USA","Pleasant Hill","IA","50327","(515) 266-8396","NO","","4.5","2","electrician","NEW","",""
"Hot Wire Diversified Services","4380 E Oakwood Dr, Pleasant Hill, IA 50327, USA","Pleasant Hill","IA","50327","(515) 262-5773","YES","http://www.hotwireds.com/","5","2","electrician","NEW","",""
"Robison Electric LLC","130 S Garfield St, Carlisle, IA 50047, USA","Carlisle","IA","50047","(515) 256-8083","YES","http://www.robisonelectricllc.com/","5","5","electrician","NEW","",""
"Carlisle City Electrical Department","405 Railroad St, Carlisle, IA 50047, USA","Carlisle","IA","50047","(515) 989-0849","YES","https://carlisleiowa.org/municipal-electric/","5","1","electrician","NEW","",""
"Todd Heaberlin Enterprises","523 E 10th St S, Newton, IA 50208, USA","Newton","IA","50208","(641) 521-1764","NO","","4.4","11","electrician","NEW","",""
"CURTS ELECTRIC","906 3rd St, Perry, IA 50220, USA","Perry","IA","50220","(515) 465-2924","NO","","N/A","0","electrician","NEW","",""
"Gasche Electric & Control Inc","20429 130th St, Perry, IA 50220, USA","Perry","IA","50220","(515) 465-4108","NO","","N/A","0","electrician","NEW","",""
"Depenning & Associates Elec Contractor","218 W 10th St N, Newton, IA 50208, USA","Newton","IA","50208","(641) 791-7372","YES","http://dpaielectric.com/","4.4","7","electrician","NEW","",""
"Van Maanen Electric Inc","500 Iowa Speedway Dr, Newton, IA 50208, USA","Newton","IA","50208","(641) 791-9473","YES","https://vanmaanenelectric.com/","3.1","16","electrician","NEW","",""
"Jacobs Electric Motor & Auto","1324 South 5th Ave E, Newton, IA 50208, USA","Newton","IA","50208","(641) 792-6650","NO","","4.5","37","electrician","NEW","",""
"Walls Plumbing & Handyman Services","600 E 4th St N, Newton, IA 50208, USA","Newton","IA","50208","(641) 275-7252","NO","","5","1","electrician","NEW","",""
"Darrell's Electric","803 South 5th Ave E, Newton, IA 50208, USA","Newton","IA","50208","(641) 792-0415","NO","","2.8","4","electrician","NEW","",""
"Warnick Mechanical","1618 N 15th Ave E, Newton, IA 50208, USA","Newton","IA","50208","(641) 792-1414","YES","https://www.warnickmechanical.com/","4.5","70","electrician","NEW","",""
"Brookwood Inc.","409 N 23rd Ave W, Newton, IA 50208, USA","Newton","IA","50208","(641) 792-1186","YES","https://www.brookwoodinc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-profile","4.4","47","electrician","NEW","",""
"More Than A Carpenter","415 West 4th St S, Newton, IA 50208, USA","Newton","IA","50208","(641) 275-5579","NO","","4.5","30","electrician","NEW","",""
"Backus Electric","1110 N 11th Ave E, Newton, IA 50208, USA","Newton","IA","50208","(641) 792-9433","NO","","N/A","0","electrician","NEW","",""
"Reeves Heating and Cooling","2570 W 12th St N, Newton, IA 50208, USA","Newton","IA","50208","(641) 787-7567","YES","https://reevesheatingandcooling.com/?utm_source=google+&utm_medium=organic+&utm_campaign=gbp","5","18","electrician","NEW","",""
"G & H Electric Co","3021 74th St, Atkins, IA 52206, USA","Atkins","IA","52206","","NO","","5","2","electrician","NEW","",""
"S & S Electric, LTD","175 US-6, Grinnell, IA 50112, USA","Grinnell","IA","50112","(641) 236-5533","YES","https://asbusinfo.com/details/s-s-electric-ltd-ChIJ53H","3.8","17","electrician","NEW","",""
"Brooker Plumbing & Heating","1313 E 12th St N, Newton, IA 50208, USA","Newton","IA","50208","","YES","http://www.brookermech.com/","4.1","48","electrician","NEW","",""
"Stanton Electric","618 N Sherman Ave, New Hampton, IA 50659, USA","New Hampton","IA","50659","(641) 394-3068","YES","https://stantonelectricllc.com/","4.3","11","electrician","NEW","",""
"Hawkins Electrical Services LLC","912 S 14th Ave, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 753-1311","YES","http://www.hawkinselectricalservice.com/","4.8","6","electrician","NEW","",""
"NAI Electrical Contractors","103 S 8th Ave, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 753-6365","YES","https://www.nai-ames.com/","N/A","0","electrician","NEW","",""
"WEB Electric, Inc","711 W Madison St, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 752-6474","NO","","4.6","31","electrician","NEW","",""
"Collins Electric","1802 W State St, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","","NO","","5","1","electrician","NEW","",""
"Balvanz Electric","1517 Greenfield Dr, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 753-1398","YES","https://usmaperx.org/details/balvanz-electric-ChIJc2m","4.2","5","electrician","NEW","",""
"West Electric","608 Roberts Terrace, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 328-4318","NO","","5","1","electrician","NEW","",""
"Electric Supply Of Marshalltown","1008 S 12th Ave, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 752-4672","NO","","5","6","electrician","NEW","",""
"Muse Electric Solutions","307 E Church St, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","","NO","","N/A","0","electrician","NEW","",""
"L E Myers Co","1405 Jackson St, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 753-6679","YES","https://lemyers.com/","4.7","6","electrician","NEW","",""
"Warden Electric","809 Jackson St, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 752-5256","NO","","4.5","2","electrician","NEW","",""
"Kabrick Electric, K&O Electric","2756 Garwin Rd, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 750-0552","YES","https://www.facebook.com/K-O-Electric-116511898408819","5","1","electrician","NEW","",""
"Rick's Electric","2642 250th St D, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 485-9261","NO","","5","1","electrician","NEW","",""
"Dynovionix Electrical Expert","202 S 3rd Ave, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 752-7767","NO","","N/A","0","electrician","NEW","",""
"Sparkvionix Electrical Expert","103 E Linn St, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 753-5156","NO","","N/A","0","electrician","NEW","",""
"Sparkcryon Electrical Expert","109 W Main St, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 351-3281","NO","","N/A","0","electrician","NEW","",""
"Dynocryon Electrical Expert","16 E State St, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 754-6700","NO","","N/A","0","electrician","NEW","",""
"Dynozentix Electrical Expert","307 May St, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 485-4483","NO","","N/A","0","electrician","NEW","",""
"Dynorionyx Electrical Expert","105 Washington St, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 754-6700","NO","","N/A","0","electrician","NEW","",""
"Sparkzentix Electrical Expert","906 S Center St, Marshalltown, IA 50158, USA","Marshalltown","IA","50158","(641) 752-7121","NO","","N/A","0","electrician","NEW","",""
